entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
233,2,"['nypl_1851_1852_doggetts_003046', 'nypl_1851_1852_doggetts_003053']",0.58,[],False
234,2,"['nypl_1851_1852_doggetts_000564', 'nypl_1851_1852_doggetts_006715']",0.805,[],False
235,2,"['nypl_1851_1852_doggetts_000081', 'nypl_1851_1852_doggetts_000090']",0.87,[],False
236,2,"['nypl_1851_1852_doggetts_000468', 'nypl_1851_1852_doggetts_000469']",0.625,[],False
237,2,"['nypl_1851_1852_doggetts_001344', 'nypl_1851_1852_doggetts_005390']",0.515,[],False
238,2,"['nypl_1851_1852_doggetts_003162', 'nypl_1851_1852_doggetts_003163']",0.96,[],False
239,2,"['nypl_1851_1852_doggetts_001534', 'nypl_1851_1852_doggetts_006510']",0.54,[],False
240,2,"['nypl_1851_1852_doggetts_006811', 'nypl_1851_1852_doggetts_006823']",0.645,[],False
241,2,"['nypl_1851_1852_doggetts_001862', 'nypl_1851_1852_doggetts_005008']",0.54,['conflicting_occupation'],True
242,2,"['nypl_1851_1852_doggetts_003038', 'nypl_1851_1852_doggetts_003161']",0.555,['conflicting_occupation'],True
243,2,"['nypl_1851_1852_doggetts_003534', 'nypl_1851_1852_doggetts_003540']",0.585,[],False
244,2,"['nypl_1851_1852_doggetts_004456', 'nypl_1851_1852_doggetts_004457']",0.955,[],False
245,2,"['nypl_1851_1852_doggetts_004370', 'nypl_1851_1852_doggetts_004615']",0.545,[],False
246,2,"['nypl_1851_1852_doggetts_002734', 'nypl_1851_1852_doggetts_002735']",0.58,[],False
247,2,"['nypl_1851_1852_doggetts_005055', 'nypl_1851_1852_doggetts_005963']",0.555,[],False
248,2,"['nypl_1851_1852_doggetts_004770', 'nypl_1851_1852_doggetts_004876']",0.51,['conflicting_occupation'],True
249,2,"['nypl_1851_1852_doggetts_001366', 'nypl_1851_1852_doggetts_006943']",0.52,[],False
250,2,"['nypl_1851_1852_doggetts_005278', 'nypl_1851_1852_doggetts_005279']",0.755,[],False
251,2,"['nypl_1851_1852_doggetts_004508', 'nypl_1851_1852_doggetts_004513']",0.515,[],False
252,2,"['nypl_1851_1852_doggetts_005337', 'nypl_1851_1852_doggetts_006883']",0.52,[],False
253,2,"['nypl_1851_1852_doggetts_004573', 'nypl_1851_1852_doggetts_004597']",0.52,[],False
254,2,"['nypl_1851_1852_doggetts_002994', 'nypl_1851_1852_doggetts_003152']",0.545,[],False
